nplid;namn;atc_kod;form;form_kod;styrka
10010101000011;Celectol;C07AB08;Filmdragerad tablett;FICOTA;200 mg
10010101000035;Nifehexal;C08CA05;Orala droppar, lösning;ORDRSO;20 mg/ml
10010101000042;Terramycin-Polymyxin B;D06AA03;Salva;OINTME;
10010101000059;Cimetidin acis;A02BA01;Tablett;TABLET;200 mg
19350131000010;Aspirin®;N02BA01;Tablett;TABLET;500 mg
19350131000027;Carbo medicinalis;A07BA01;Tablett;TABLET;250 mg
19350321000011;Neurol;N05CM09;Dragerad tablett;COATAB;
19350321000028;Palladon Comp;N02AG04;Injektionsvätska, lösning;SOLINJ;
19350429000012;Lepheton®;R05DA20;Oral lösning;ORASOL;
19350615000017;Calcium-Sandoz®;A12AA02;Injektionsvätska, lösning;SOLINJ;9 mg/ml
19351122000019;Nitromex®;C01DA02;Resoriblett, sublingual;SULITA;0,5 mg
19351204000012;Inotyol®;D05AA;Salva;OINTME;
19360121000012;Inolaxol®;A06AC03;Granulat;GRANUL;
19371028000012;Hypochylin®;A09AB01;Tablett;TABLET;300 mg
19390203000012;Vetalgin® vet.;QN02BB02;Injektionsvätska, lösning;SOLINJ;500 mg/ml
19391005000019;Baldrian-Dispert®;N05CM09;Dragerad tablett;COATAB;
19391102000011;Valerecen®;N05CM09;Oral lösning;ORASOL;
19391228000018;Epanutin®;N03AB02;Kapsel, hård;CAPHAR;100 mg
19401010000017;Quilla simplex;R05CA10;Oral lösning;ORASOL;
19401205000013;Pentothal® Natrium;N01AF03;Pulver till injektionsvätska, lösning;POSOIJ;
19410320000013;Resyl®;R05CA03;Orala droppar, lösning;ORDRSO;100 mg/ml
19430311000013;Neostigmin®;N07AA01;Injektionsvätska, lösning;SOLINJ;2,5 mg/ml
19441214000017;Rimidol®;S01GA01;Ögondroppar, lösning;EYDRSO;
19450927000016;Salazopyrin®;A07EC01;Tablett;TABLET;500 mg
19470313000017;Spasmofen®;N02AG01;Injektionsvätska, lösning;SOLINJ;
19470313000024;Spasmofen®;N02AG01;Suppositorium;SUPPOS;
19480225000012;Tiotil;H03BA02;Tablett;TABLET;50 mg
19480609000010;Digitrin®;C01AA04;Tablett;TABLET;0,1 mg
19481201000019;Relaxit®;A06AX02;Suppositorium;SUPPOS;
19490518000018;Bensylpenicillin Viatris;J01CE01;Pulver till injektions-/infusionsvätska, lösning;POSOII;
19490720000011;Xylocain®;N01BB02;Injektionsvätska, lösning;SOLINJ;20 mg/ml
19491123000011;Xylocain®;D04AB01;Salva;OINTME;5 %
19500105000014;Alka-Seltzer®;N02BA01;Brustablett;EFFTAB;
19501227000012;Folacin®;B03BB01;Tablett;TABLET;5 mg
19501227000029;Amosyt®;R06AA11;Tablett;TABLET;100 mg
19510531000014;Xylocain®;N01BB02;Injektionsvätska, lösning;SOLINJ;5 mg/ml
19510531000021;Xylocain Dental Adrenalin;N01BB52;Injektionsvätska, lösning;SOLINJ;20 mg/ml + 12,5 mikrogram/ml
19510531000038;Xylocain®;N01BB02;Injektionsvätska, lösning;SOLINJ;10 mg/ml
19510531000045;Pursennid® Ex-Lax;A06AB06;Dragerad tablett;COATAB;12 mg
19511024000016;Desentol®;R06AA02;Oral lösning;ORASOL;
19511121000018;Pargitan®;N04AA01;Tablett;TABLET;5 mg
19521117000014;Chloromycetin®;S01AA01;Ögondroppar, lösning;EYDRSO;5 mg/ml
19521117000021;Chloromycetin®;S01AA01;Ögonsalva;EYEOIN;1 %
19530102000014;Xylocain®;N01BB02;Gel;GEL1;20 mg/g
19530102000021;Pargitan® mite;N04AA01;Tablett;TABLET;2 mg
19530210000012;Ido-C®;A11GA01;Tuggtablett;CHETAB;0,5 g
19530228000011;Methergin®;G02AB01;Injektionsvätska, lösning;SOLINJ;0,2 mg/ml
19530228000028;Lergigan®;R06AD02;Filmdragerad tablett;FICOTA;25 mg
19530228000035;Lergigan® mite;R06AD02;Filmdragerad tablett;FICOTA;5 mg
19530228000042;Lergigan®;R06AD02;Oral lösning;ORASOL;1 mg/ml
19530418000012;Lergigan® comp.;R06AD52;Tablett;TABLET;10 mg/50 mg/10 mg
19530623000012;Thacapzol®;H03BB02;Tablett;TABLET;5 mg
19530811000015;Beviplex® forte;A11EA;Filmdragerad tablett;FICOTA;
19540215000016;Selsun®;D11AC03;Schampo;SHAMPO;25 mg/ml
19540223000015;Cetiprin;G04BD01;Injektionsvätska, lösning;SOLINJ;25 mg/ml
19540518000010;Probecid®;M04AB01;Tablett;TABLET;500 mg
19540628000016;Xylocain® viskös;N01BB02;Oral lösning;ORASOL;20 mg/ml
19540628000030;Buscopan®;A03BB01;Injektionsvätska, lösning;SOLINJ;20 mg/ml
19540913000011;Postafen®;R06AE05;Tablett;TABLET;25 mg
19540913000028;Vi-Siblin®;A06AC01;Granulat;GRANUL;610 mg/g
19541110000019;Terramycin®-polymyxin B;D06AA03;Salva;OINTME;30 mg/g+1 mg/g
19541213000015;Levaxin®;H03AA01;Tablett;TABLET;100 mikrogram
19550129000019;Ficortril®;S01BA02;Ögonsalva;EYEOIN;0,5 %
19550216000014;Mestinon®;N07AA02;Dragerad tablett;COATAB;60 mg
19550216000021;Mestinon®;N07AA02;Tablett;TABLET;10 mg
19550228000019;Testoviron®-Depot;G03BA03;Injektionsvätska, lösning;SOLINJ;250 mg/ml
19550228000040;Hibernal®;N05AA01;Injektionsvätska, lösning;SOLINJ;25 mg/ml
19550228000057;Hibernal®;N05AA01;Tablett;TABLET;25 mg
19550329000017;Albuminativ®;B05AA01;Infusionsvätska, lösning;SOLINF;200 g/l
19550329000024;Cafergot®;N02CA52;Tablett;TABLET;
19550329000031;Methergin®;G02AB01;Tablett;TABLET;0,125 mg
19550711000014;Terracortril®;D07CA01;Salva;OINTME;30 mg/g+10 mg/g
19550711000021;Lergigan® forte;R06AD02;Filmdragerad tablett;FICOTA;50 mg
19550809000018;Albyl® minor;N02BA01;Tablett;TABLET;250 mg
19551005000017;Penovet® vet.;QJ01CE09;Injektionsvätska, suspension;SUSINJ;300 mg/ml
19551128000017;Macrodex® 60 mg/ml med natriumklorid;B05AA05;Infusionsvätska, lösning;SOLINF;
19551128000024;Diamox®;S01EC01;Tablett;TABLET;250 mg
19551128000031;Ficortril®;D07AA02;Salva;OINTME;1 %
19551128000048;Diamox®;S01EC01;Pulver till injektionsvätska, lösning;POSOIJ;500 mg
19551227000024;Hibernal®;N05AA01;Tablett;TABLET;100 mg
19560123000014;Myleran®;L01AB01;Filmdragerad tablett;FICOTA;2 mg
19560227000019;Toclase;R05DB05;Oral lösning;ORASOL;1,5 mg/ml
19560515000011;Silon;D02AA;Salva;OINTME;
19560515000028;Premarina®;G03CA57;Tablett;TABLET;1,25 mg
19560712000012;Lanacrist®;C01AA05;Tablett;TABLET;0,25 mg
19560925000014;Ketogan®;N02AG02;Suppositorium;SUPPOS;10 mg/50 mg
19561113000014;Abboticin®;J01FA01;Pulver till infusionsvätska, lösning;POSOIF;1 g
19561113000021;Disipal;N04AB02;Dragerad tablett;COATAB;50 mg
19561220000013;Partoxin® vet.;QH01BB02;Injektionsvätska, lösning;SOLINJ;10 IU/ml
19570129000017;Noviform®;S01AX05;Ögonsalva;EYEOIN;5 %
19570219000019;Hirudoid®;C05BA01;Kräm;CREAM;
19570223000012;Combizym®;A09AA02;Tablett;TABLET;
19570223000029;Acetylsalicylsyra Ellem;N02BA01;Tablett;TABLET;500 mg
19570223000036;Bamyl® koffein;N02BA51;Tablett;TABLET;500 mg/50 mg
19570223000043;Exolyt®;R05CA10;Oral lösning;ORASOL;
19570315000012;Natriumklorid Fresenius Kabi;B05BB01;Infusionsvätska, lösning;SOLINF;9 mg/ml
19570315000029;Glucos Fresenius Kabi;B05BA03;Infusionsvätska, lösning;SOLINF;50 mg/ml
19570405000014;Atarax;N05BB01;Filmdragerad tablett;FICOTA;10 mg
19570405000021;Atarax;N05BB01;Filmdragerad tablett;FICOTA;25 mg
19570405000038;Atarax;N05BB01;Oral lösning;ORASOL;2 mg/ml
19571003000017;Apresolin®;C02DB02;Tablett;TABLET;25 mg
19571115000011;Dulcolax®;A06AB02;Enterotablett;GARETA;5 mg
19571115000028;Dulcolax®;A06AB02;Suppositorium;SUPPOS;10 mg
19571206000012;Mytelase®;N07AA30;Tablett;TABLET;10 mg
19571206000029;Plegicil® vet.;QN05AA04;Injektionsvätska, lösning;SOLINJ;10 mg/ml
19571206000036;Dihydrostreptomycin vet.;QA07AA90;Tablett;TABLET;500 mg
19571217000018;Celocurin®;M03AB01;Injektionsvätska, lösning;SOLINJ;50 mg/ml
19571219000016;Liothyronin;H03AA02;Tablett;TABLET;20 mikrogram
19571219000023;Alcosanal®;C05AX03;Rektalsalva;RECOIN;110 mg/g
19571219000030;Alcosanal®;C05AX03;Suppositorium;SUPPOS;200 mg
19571219000047;Trilafon®;N05AB03;Filmdragerad tablett;FICOTA;2 mg
19571219000054;Trilafon®;N05AB03;Filmdragerad tablett;FICOTA;4 mg
19571219000061;Trilafon®;N05AB03;Filmdragerad tablett;FICOTA;8 mg
19580127000018;Puri-nethol®;L01BB02;Tablett;TABLET;50 mg
19580205000015;Effortil®;C01CA01;Injektionsvätska, lösning;SOLINJ;10 mg/ml
19580205000022;Effortil®;C01CA01;Orala droppar, lösning;ORDRSO;7,5 mg/ml
19580205000039;Effortil®;C01CA01;Tablett;TABLET;5 mg
19580213000014;Solu-Cortef®;H02AB09;Pulver och vätska till injektionsvätska, lösning;PSSOIJ;100 mg
19580220000014;Cantil®;A03AB12;Tablett;TABLET;25 mg
19580320000013;Furadantin®;J01XE01;Tablett;TABLET;50 mg
19580422000010;Varidase®;B06AA55;Pulver till lösning för kutan/intrakavernös användning;POCUIC;
19580505000012;Pregnyl®;G03GA01;Pulver och vätska till injektionsvätska, lösning;PSSOIJ;1500 IE
19580704000011;Streptocillin® vet.;QJ01RA01;Injektionsvätska, suspension;SUSINJ;250 mg/ml + 200 mg/ml
19580708000017;Beviplex® forte;A11EA;Oral lösning;ORASOL;
19580708000024;Xylocain®;N01BB02;Näs-/munhålelösning;NAOMSO;40 mg/ml
19580930000014;Ultracortenol®;S01BA04;Ögonsalva;EYEOIN;5 mg/g
19581104000014;Florinef®;H02AA02;Tablett;TABLET;0,1 mg
19581104000045;Stemetil®;N05AB04;Tablett;TABLET;5 mg
19581104000052;Stemetil®;N05AB04;Suppositorium;SUPPOS;25 mg
19581115000010;Vitatonin®;A11AB;Oral lösning;ORASOL;
19581115000027;Alvedon®;N02BE01;Filmdragerad tablett;FICOTA;500 mg
19581215000019;Terramycin® vet.;QJ01AA06;Orala droppar, suspension;ORDRSU;100 mg/ml
19581215000026;Thiotepa;L01AC01;Pulver till injektionsvätska/lösning för intravesikal användning;PSIVES;15 mg
19581215000033;Panodil®;N02BE01;Filmdragerad tablett;FICOTA;500 mg
19581231000017;Lanoxin®;C01AA05;Oral lösning;ORASOL;50 mikrogram/ml
19590228000015;Cafergot®;N02CA52;Suppositorium;SUPPOS;
19590428000013;Medrol®;H02AB04;Tablett;TABLET;4 mg
19590428000020;Sendoxan;L01AA01;Pulver till injektionsvätska, lösning;POSOIJ;
19590521000026;Hibernal®;N05AA01;Tablett;TABLET;50 mg
19590602000013;Decadron;H02AB02;Tablett;TABLET;0,5 mg
19590602000051;Nozinan®;N05AA02;Tablett;TABLET;25 mg
19590602000068;Nozinan®;N05AA02;Injektionsvätska, lösning;SOLINJ;25 mg/ml
19590602000075;Nozinan®;N05AA02;Tablett;TABLET;100 mg
19590617000022;Esidrex®;C03AA03;Tablett;TABLET;25 mg
19590713000018;Alvedon®;N02BE01;Oral lösning;ORASOL;24 mg/ml
19590916000013;Polaramin®;R06AB02;Tablett;TABLET;2 mg
19590916000020;Polaramin® prolongatum;R06AB02;Depottablett;PRRETA;6 mg
19590930000013;Konakion®;B02BA01;Tuggtablett;CHETAB;10 mg
19590930000020;Antabus®;N07BB01;Brustablett;EFFTAB;400 mg
19591013000012;Carbocain®;N01BB03;Injektionsvätska, lösning;SOLINJ;5 mg/ml
19591013000029;Carbocain®;N01BB03;Injektionsvätska, lösning;SOLINJ;10 mg/ml
19591013000036;Carbocain®;N01BB03;Injektionsvätska, lösning;SOLINJ;20 mg/ml
19591013000043;Carbocain® adrenalin;N01BB53;Injektionsvätska, lösning;SOLINJ;5 mg/ml + 5 mikrogram/ml
19591013000050;Carbocain® adrenalin;N01BB53;Injektionsvätska, lösning;SOLINJ;10 mg/ml + 5 mikrogram/ml
19591013000067;Carbocain® adrenalin;N01BB53;Injektionsvätska, lösning;SOLINJ;20 mg/ml + 5 mikrogram/ml
19591124000017;Fungizone®;J02AA01;Pulver till infusionsvätska, lösning;POSOIF;50 mg
19591124000024;Cyclogyl®;S01FA04;Ögondroppar, lösning;EYDRSO;1 %
19591124000031;Trilafon® prolongatum;N05AB03;Depottablett;PRRETA;8 mg
19600130000017;Otrivin®;R01AA07;Näsdroppar, lösning;NADRSO;1 mg/ml
19600130000024;Otrivin®;R01AA07;Nässpray, lösning;NASPSO;1 mg/ml
19600130000031;Akineton®;N04AA02;Injektionsvätska, lösning;SOLINJ;5 mg/ml
19600130000048;Akineton®;N04AA02;Tablett;TABLET;2 mg
19600229000010;Truxal®;N05AF03;Filmdragerad tablett;FICOTA;15 mg
19600229000027;Truxal®;N05AF03;Filmdragerad tablett;FICOTA;50 mg
19600401000012;Precortalon® aquosum;H02AB06;Pulver till injektionsvätska, lösning;POSOIJ;25 mg
19600513000016;Estradurin®;L02AA02;Pulver och vätska till injektionsvätska, lösning;PSSOIJ;80 mg
19600513000030;Theralen®;R06AD01;Filmdragerad tablett;FICOTA;5 mg
19600628000017;Propavan;N05CM06;Tablett;TABLET;25 mg
19600628000024;Deltison®;H02AB07;Tablett;TABLET;50 mg
19600628000031;Mallorol®;N05AC02;Filmdragerad tablett;FICOTA;10 mg
19600628000048;Mallorol®;N05AC02;Filmdragerad tablett;FICOTA;25 mg
19600628000055;Mallorol®;N05AC02;Filmdragerad tablett;FICOTA;100 mg
19600628000062;Paraflex®;M03BB03;Tablett;TABLET;250 mg
19600926000016;Kenacort®-T;D07AB09;Salva;OINTME;0,1 %
19601227000026;Nozinan®;N05AA02;Tablett;TABLET;5 mg
19610201000013;Lacudex;D08AC02;Vaginalkräm;VAGCRE;10 mg/ml
19610213000018;Algesal®;M02AC;Salva;OINTME;100 mg/g
19610222000016;Dexacortal®;H02AB02;Tablett;TABLET;1,5 mg
19610224000014;Benadon®;A11HA02;Tablett;TABLET;300 mg
19610329000018;Decadron;S03BA01;Ögon-/örondroppar, lösning;EEDRSO;1 mg/ml
19610412000017;Plaquenil®;P01BA02;Filmdragerad tablett;FICOTA;200 mg
19610526000019;Salures®;C03AA01;Tablett;TABLET;2,5 mg
19610526000026;Salures®;C03AA01;Tablett;TABLET;5 mg
19610526000033;Erco-Fer®;B03AA02;Dragerad tablett;COATAB;60 mg Fe 2+
19610712000014;Socatyl® vet.;QA07AB90;Oral/kutan pasta;ORCUPA;500 mg
19610712000021;Bevitotal® comp.;A11EB;Tablett;TABLET;
19610712000038;Leukeran®;L01AA02;Filmdragerad tablett;FICOTA;2 mg
19611019000011;Mallorol®;N05AC02;Orala droppar, lösning;ORDRSO;30 mg/ml
19611115000014;Mallorol®;N05AC02;Filmdragerad tablett;FICOTA;50 mg
19611120000016;Strepsils Apelsin;R02AA03;Sugtablett;LOZENG;
19611120000023;Decadron® cum neomycin;S03CA01;Ögon-/örondroppar, lösning;EEDRSO;
19611127000019;Kloramfenikol-succinat;J01BA01;Pulver till injektionsvätska, lösning;POSOIJ;1 g
19611215000013;Rheomacrodex® 100 mg/ml med natriumklorid;B05AA05;Infusionsvätska, lösning;SOLINF;
19611229000016;Ascoxal®;A01AB11;Munsköljvätska, tablett till lösning;MOUWTS;
19611229000023;Haldol®;N05AD01;Oral lösning;ORASOL;2 mg/ml
19611229000030;Haldol®;N05AD01;Tablett;TABLET;1 mg
19611229000047;Duphaston®;G03DB01;Tablett;TABLET;5 mg
19620201000012;Klyx®;A06AG10;Rektallösning;RECSOL;1 mg/ml+250 mg/ml
19620201000029;Treo®;N02BA51;Brustablett;EFFTAB;500 mg/50 mg
19620228000019;Oxytocin CD Pharma;H01BB02;Nässpray, lösning;NASPSO;6,7 mikrogram/dos
19620228000026;Somadril®;M03BA02;Tablett;TABLET;350 mg
19620412000016;Tofranil®;N06AA02;Dragerad tablett;COATAB;25 mg
19620412000023;Benerva®;A11DA01;Filmdragerad tablett;FICOTA;300 mg
19620412000030;Tofranil®;N06AA02;Dragerad tablett;COATAB;10 mg
19620529000015;Anervan®;N02CA72;Tablett;TABLET;
19620529000022;Anervan®;N02CA72;Suppositorium;SUPPOS;
19620529000039;Proctosedyl®;C05AA01;Rektalsalva;RECOIN;
19620529000046;Proctosedyl®;C05AA01;Suppositorium;SUPPOS;
19621019000010;Ultrasan vet.;QA11JA;Injektionsvätska, lösning;SOLINJ;
19630201000011;Beviplex® vet.;QA11EA;Injektionsvätska, lösning;SOLINJ;
19630202000010;Syntocinon®;H01BB02;Koncentrat till injektions-/infusionsvätska, lösning;CSIJIF;8,3 mikrogram/ml
19630202000034;Theralen®;R06AD01;Orala droppar, lösning;ORDRSO;40 mg/ml
19630517000019;Aldomet®;C02AB01;Filmdragerad tablett;FICOTA;250 mg
19630517000026;Streptocillin® vet.;QJ51RC23;Intramammär salva;INMAOI;200 mg/200 mg
19630619000016;Carbocain® dental;N01BB03;Injektionsvätska, lösning;SOLINJ;30 mg/ml
19630913000019;Synalar®;D07AC04;Kräm;CREAM;0,025 %
19630913000026;Synalar®;D07AC04;Salva;OINTME;0,025 %
19630926000013;Vanquin;P02CX01;Oral suspension;ORASUS;10 mg/ml
19630926000020;Vanquin;P02CX01;Dragerad tablett;COATAB;50 mg
19631018000027;Suxinutin®;N03AD01;Kapsel, mjuk;CAPSOF;250 mg
19631018000034;Tryptizol®;N06AA09;Filmdragerad tablett;FICOTA;10 mg
19631018000041;Tryptizol®;N06AA09;Filmdragerad tablett;FICOTA;25 mg
19631018000058;Metopiron®;V04CD01;Kapsel, mjuk;CAPSOF;250 mg
19631018000065;Saroten®;N06AA09;Filmdragerad tablett;FICOTA;25 mg
19631018000072;Saroten®;N06AA09;Filmdragerad tablett;FICOTA;10 mg
19631018000089;Suxinutin®;N03AD01;Oral lösning;ORASOL;50 mg/ml
19631025000010;Kenacort®-T;D07AB09;Kräm;CREAM;0,1 %
19631031000011;Gestapuran®;G03DA02;Tablett;TABLET;5 mg
19631031000028;Pred-Clysma®;A07EA01;Rektallösning;RECSOL;31,25 mg
19631031000035;Kinidin Duretter®;C01BA01;Depottablett;PRRETA;200 mg
19631106000014;Trilafon®;N05AB03;Orala droppar, lösning;ORDRSO;3,2 mg/ml
19631115000012;Cyclomandol®;C04AX01;Tablett;TABLET;200 mg
19631115000029;E-vimin®;A11HA03;Kapsel, mjuk;CAPSOF;100 mg
19631121000013;Sorbangil;C01DA08;Tablett;TABLET;5 mg
19631121000020;Yomesan®;P02DA01;Tuggtablett;CHETAB;500 mg
19631127000017;Depo-Medrol®;H02AB04;Injektionsvätska, suspension;SUSINJ;40 mg/ml
19631127000024;Betapred;H02AB01;Tablett;TABLET;0,5 mg
19631127000031;Tokosel® vet.;QA12CE99;Oralt pulver;ORAPOW;20 mg/g+0,4 mg/g
19631202000017;Deca-Durabol®;A14AB01;Injektionsvätska, lösning;SOLINJ;50 mg/ml
19631209000027;Sofradex;S03CA01;Ögon-/örondroppar, lösning;EEDRSO;
19631209000034;Diamox® Depot;S01EC01;Depotkapsel, mjuk;PRRECS;500 mg
19631216000010;Arovit®;A11CA01;Tablett;TABLET;50000 IE
19631216000027;Link®;A02AD01;Tuggtablett;CHETAB;700 mg
19631231000019;Velbe®;L01CA01;Pulver till injektionsvätska, lösning;POSOIJ;10 mg
19631231000026;Microlax®;A06AG11;Rektallösning;RECSOL;
19631231000033;Ferritamin®;B03AE10;Oral lösning;ORASOL;
19631231000064;Flagyl®;P01AB01;Tablett;TABLET;200 mg
19631231000071;Flagyl®;G01AF01;Vagitorium;PESSAR;500 mg
19640101000011;Waran®;B01AA03;Pulver och vätska till injektionsvätska, lösning;PSSOIJ;15 mg
19640101000028;Waran®;B01AA03;Tablett;TABLET;2,5 mg
19640101000035;Ekvacillin®;J01CF02;Pulver till injektions-/infusionsvätska, lösning;POSOII;
19640101000042;Behepan®;B03BA03;Injektionsvätska, lösning;SOLINJ;1 mg/ml
19640131000012;Citanest®;N01BB04;Injektionsvätska, lösning;SOLINJ;5 mg/ml
19640131000029;Citanest®;N01BB04;Injektionsvätska, lösning;SOLINJ;10 mg/ml
19640217000011;Tetralysal®;J01AA04;Kapsel, hård;CAPHAR;150 mg
19640217000028;Macalvit®;A11GB01;Brustablett;EFFTAB;
19640219000019;Lanacrist®;C01AA05;Injektionsvätska, lösning;SOLINJ;0,25 mg/ml
19640224000011;Becozym®;A11EA;Tablett;TABLET;
19640224000028;Intralipid®;B05BA02;Infusionsvätska, emulsion;EMUINF;100 mg/ml
19640224000035;Intralipid®;B05BA02;Infusionsvätska, emulsion;EMUINF;200 mg/ml
19640224000059;Gastrografin®;V08AA01;Oral lösning/rektallösning;ORRESO;370 mg I/ml
19640228000017;Somadril® comp.;M03BA52;Tablett;TABLET;
19640228000024;Urografin®;V08AA01;Lösning för intravesikal användning;SOIVEU;145 mg I/ml
19640316000011;Fluothane®;N01AB01;Inhalationsånga, vätska;INVALI;
19640320000014;Neurobion®;A11DB;Injektionsvätska, lösning;SOLINJ;
19640320000038;Surmontil®;N06AA06;Tablett;TABLET;50 mg
19640320000045;Desferal®;V03AC01;Pulver till injektions-/infusionsvätska, lösning;POSOII;500 mg
19640320000052;Abboticin®;J01FA01;Granulat till oral suspension;GRORSU;40 mg/ml
19640331000010;Doktacillin®;J01CA01;Pulver till injektions-/infusionsvätska, lösning;POSOII;
19640415000011;Orgametril®;G03DC03;Tablett;TABLET;5 mg
19640415000028;Betolvex®;B03BA02;Injektionsvätska, suspension;SUSINJ;1 mg/ml
19640415000035;Isopto®-Biotic;S01AA20;Ögondroppar, lösning;EYDRSO;
19640416000010;Periactin®;R06AX02;Tablett;TABLET;4  mg
19640416000027;Aldactone®;C03DA01;Filmdragerad tablett;FICOTA;25 mg
19640429000021;Isopto®-Maxidex;S01BA01;Ögondroppar, suspension;EYDRSU;1 mg/ml
19640429000038;Primolut®-Nor;G03DC02;Tablett;TABLET;5 mg
19640525000017;Resonium;V03AE01;Pulver till oral/rektal suspension;PORSUS;
19640525000024;Sevorex®;D11AC08;Schampo;SHAMPO;
19640525000031;Opticorten® vet.;QH02AB02;Tablett;TABLET;5 mg
19640527000015;Ficortril®;D07AA02;Kutan emulsion;CUTEMU;1 %
19640602000015;Celeston®;H02AB01;Injektionsvätska, lösning;SOLINJ;4 mg/ml
19640623000018;Methotrexate Pfizer;L04AX03;Tablett;TABLET;2,5 mg
19640629000012;Terracortril® med Polymyxin B;S03CA04;Ögon-/öronsalva;EYEAOI;
19640629000029;Terracortril® med Polymyxin B;S03CA04;Ögon-/örondroppar, suspension;EEDRSU;
19640722000018;Isopto®-Pilokarpin;S01EB01;Ögondroppar, lösning;EYDRSO;2 %
19640722000025;Isopto®-Pilokarpin;S01EB01;Ögondroppar, lösning;EYDRSO;3 %
19640722000032;Isopto®-Pilokarpin;S01EB01;Ögondroppar, lösning;EYDRSO;4 %
19640722000049;Isopto®-Atropin;S01FA01;Ögondroppar, lösning;EYDRSO;1 %
19640903000011;Zincfrin®;S01GA55;Ögondroppar, lösning;EYDRSO;
19640903000028;Isopto®-Plain;S01XA20;Ögondroppar, lösning;EYDRSO;5 mg/ml
19640903000035;Macalvit® med citronsmak;A11GB01;Brustablett;EFFTAB;
19640930000015;Esucos;N05AB01;Tablett;TABLET;10 mg
19640930000022;Esucos;N05AB01;Tablett;TABLET;25 mg
19640930000046;Nezeril®;R01AA05;Nässpray, lösning;NASPSO;0,5 mg/ml
19641125000018;Salazopyrin® EN;A07EC01;Enterotablett;GARETA;500 mg
19641125000025;Behepan®;B03BA01;Filmdragerad tablett;FICOTA;1 mg
19641211000014;Koffazon;N02BB51;Tablett;TABLET;
19641214000011;Torecan®;R06AD03;Suppositorium;SUPPOS;6,5 mg
19641222000010;Cocillana-Etyfin;R05FA02;Oral lösning;ORASOL;
19650121000014;Alkeran®;L01AA03;Filmdragerad tablett;FICOTA;2 mg
19650301000018;Kajos®;A12BA02;Oral lösning;ORASOL;33 mg (0,85 mmol) K+/ml
19650318000018;Mydriacyl;S01FA06;Ögondroppar, lösning;EYDRSO;0,5 %
19650412000013;Tylan® vet.;QJ01FA90;Pulver till oral lösning;POORSO;83 %
19650412000020;Uniferon;QB03AC90;Injektionsvätska, lösning;SOLINJ;100 mg fe 3+/ml
19650412000037;Tibinide®;J04AC01;Tablett;TABLET;300 mg
19650520000011;Sensaval®;N06AA10;Filmdragerad tablett;FICOTA;25 mg
19650520000028;Indomee®;M01AB01;Kapsel, hård;CAPHAR;25 mg
19650520000035;Sensaval®;N06AA10;Filmdragerad tablett;FICOTA;10 mg
19650520000042;Betnovat®;D07AC01;Kräm;CREAM;0,1 %
19650520000059;Betnovat®;D07AC01;Kutan emulsion;CUTEMU;1 mg/ml
19650520000066;Betnovat®;D07AC01;Salva;OINTME;0,1 %
19650520000073;Betnovat® med neomycin;D07CC01;Kräm;CREAM;
19650520000080;Betnovat® med neomycin;D07CC01;Kutan emulsion;CUTEMU;
19650520000097;Betnovat® med neomycin;D07CC01;Salva;OINTME;
19650520000103;Celeston® valerat;D07AC01;Kräm;CREAM;0,1 %
19650520000127;Celeston® valerat;D07AC01;Salva;OINTME;0,1 %
19650520000141;Bafucin®;R02AB30;Sugtablett;LOZENG;
19650520000158;Ferromyn® S;B03AA06;Oral lösning;ORASOL;3,7 mg fe2+/ml
19650520000165;Saroten®;N06AA09;Filmdragerad tablett;FICOTA;50 mg
19650622000025;Lasix®;C03CA01;Tablett;TABLET;40 mg
19650729000010;Scheriproct;C05AA04;Rektalsalva;RECOIN;0,19 %/0,5 %
19650729000027;Scheriproct;C05AA04;Suppositorium;SUPPOS;1,3 mg/1 mg
19650902000011;Tegretol®;N03AF01;Tablett;TABLET;200 mg
19650902000028;Kenacort®-T comp.;D07XB02;Kutan lösning;CUTSOL;
19651020000013;Glucophage;A10BA02;Filmdragerad tablett;FICOTA;500 mg
19651020000020;Egazil®;A03BA03;Depottablett;PRRETA;0,2 mg
19651117000018;Lixir®;A11JC;Oral lösning;ORASOL;
19651117000025;Lixir® S;A11JC;Oral lösning;ORASOL;
19651125000017;Inderal®;C07AA05;Injektionsvätska, lösning;SOLINJ;1 mg/ml
19651125000024;Inderal®;C07AA05;Filmdragerad tablett;FICOTA;10 mg
19651125000031;Inderal®;C07AA05;Filmdragerad tablett;FICOTA;40 mg
19651208000019;Calcium-Sandoz®;A12AA06;Brustablett;EFFTAB;500 mg
19660112000015;Nicangin®;C10AD02;Brustablett;EFFTAB;1 g
19660112000022;Addex®-Kalium;B05XA06;Koncentrat till infusionsvätska, lösning;COSINF;2 mmol/ml
19660112000039;Addex®-Magnesium;B05XA05;Koncentrat till infusionsvätska, lösning;COSINF;1 mmol/ml
19660112000046;Addex®-Natriumklorid;B05XA03;Koncentrat till infusionsvätska, lösning;COSINF;4 mmol/ml
19660112000053;Addex®-Ammoniumklorid;B05XA04;Koncentrat till infusionsvätska, lösning;COSINF;4 mmol/ml
19660112000060;Addex®-Kaliumklorid;B05XA01;Koncentrat till infusionsvätska, lösning;COSINF;2 mmol/ml
19660215000011;Fucidin®;D06AX01;Salva;OINTME;2 %
19660215000028;Isopto®-Atropin;S01FA01;Ögondroppar, lösning;EYDRSO;0,5 %
